# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ctrl01;544;2022-05-10 09:50:01 UTC;-1;1.48;0.00;1.14;0.01;0.00;97.37
ctrl01;538;2022-05-10 10:00:05 UTC;-1;2.40;0.00;1.55;0.02;0.00;96.03
ctrl01;554;2022-05-10 10:10:07 UTC;-1;1.09;0.00;0.80;0.01;0.00;98.11
ctrl01;550;2022-05-10 10:20:03 UTC;-1;0.89;0.00;0.77;0.00;0.00;98.33
ctrl01;554;2022-05-10 10:30:05 UTC;-1;0.54;0.00;0.50;0.00;0.00;98.96
ctrl01;566;2022-05-10 10:40:07 UTC;-1;0.56;0.00;0.52;0.01;0.00;98.91
ctrl01;548;2022-05-10 10:50:02 UTC;-1;0.72;0.05;1.04;0.01;0.00;98.19
ctrl01;563;2022-05-10 11:00:06 UTC;-1;1.01;0.00;0.84;0.01;0.00;98.14
ctrl01;564;2022-05-10 11:10:01 UTC;-1;0.57;0.00;0.47;0.00;0.00;98.95
ctrl01;542;2022-05-10 11:20:03 UTC;-1;1.35;0.00;1.04;0.00;0.00;97.61
ctrl01;554;2022-05-10 11:30:06 UTC;-1;0.91;0.00;0.78;0.00;0.00;98.31
ctrl01;566;2022-05-10 11:40:01 UTC;-1;0.27;0.00;0.32;0.00;0.00;99.41
ctrl01;552;2022-05-10 11:50:04 UTC;-1;1.01;0.00;0.81;0.00;0.00;98.17
ctrl01;561;2022-05-10 12:00:06 UTC;-1;1.11;0.00;0.78;0.00;0.00;98.11
ctrl01;562;2022-05-10 12:10:01 UTC;-1;0.36;0.00;0.39;0.01;0.00;99.24
ctrl01;555;2022-05-10 12:20:01 UTC;-1;0.38;0.00;0.43;0.00;0.00;99.19
ctrl01;560;2022-05-10 12:30:06 UTC;-1;1.09;0.00;0.81;0.01;0.00;98.10
ctrl01;555;2022-05-10 12:40:01 UTC;-1;2.00;0.00;1.24;0.01;0.00;96.75
ctrl01;551;2022-05-10 12:50:05 UTC;-1;1.02;0.00;0.98;0.00;0.00;98.00
ctrl01;573;2022-05-10 13:00:01 UTC;-1;0.47;0.00;0.56;0.01;0.00;98.97
ctrl01;556;2022-05-10 13:10:04 UTC;-1;0.31;0.00;0.36;0.01;0.00;99.33
ctrl01;566;2022-05-10 13:20:07 UTC;-1;0.37;0.00;0.44;0.01;0.00;99.18
ctrl01;563;2022-05-10 13:30:03 UTC;-1;60.71;0.00;30.30;0.01;0.00;8.98
ctrl01;555;2022-05-10 13:40:01 UTC;-1;57.24;0.00;22.51;0.00;0.00;20.24
ctrl01;571;2022-05-10 13:50:07 UTC;-1;0.27;0.00;0.36;0.00;0.00;99.37
ctrl01;555;2022-05-10 14:00:01 UTC;-1;0.39;0.00;0.32;0.01;0.00;99.29
ctrl01;556;2022-05-10 14:10:05 UTC;-1;0.72;0.29;1.47;0.06;0.00;97.48
ctrl01;575;2022-05-10 14:20:07 UTC;-1;0.14;0.00;0.20;0.00;0.00;99.66
ctrl01;559;2022-05-10 14:30:01 UTC;-1;0.16;0.00;0.21;0.00;0.00;99.63
ctrl01;555;2022-05-10 14:40:05 UTC;-1;0.50;0.00;0.68;0.01;0.00;98.81
ctrl01;572;2022-05-10 14:50:07 UTC;-1;0.66;0.00;0.71;0.01;0.00;98.62
ctrl01;552;2022-05-10 15:00:02 UTC;-1;0.37;0.00;0.35;0.00;0.00;99.28
ctrl01;570;2022-05-10 18:40:08 UTC;-1;0.14;0.00;0.31;0.00;0.00;99.55
ctrl01;544;2022-05-10 18:50:03 UTC;-1;0.17;0.00;0.28;0.00;0.00;99.55
ctrl01;561;2022-05-10 19:00:05 UTC;-1;0.20;0.00;0.20;0.00;0.00;99.60
ctrl01;566;2022-05-10 19:10:08 UTC;-1;0.17;0.00;0.23;0.00;0.00;99.59
ctrl01;549;2022-05-10 19:20:04 UTC;-1;0.14;0.00;0.18;0.00;0.00;99.68
ctrl01;562;2022-05-10 19:30:06 UTC;-1;0.20;0.00;0.21;0.00;0.00;99.59
ctrl01;570;2022-05-10 19:40:02 UTC;-1;0.39;0.00;0.35;0.01;0.00;99.25
ctrl01;551;2022-05-10 19:50:03 UTC;-1;0.36;0.00;0.31;0.00;0.00;99.33
ctrl01;567;2022-05-10 20:00:06 UTC;-1;0.29;0.00;0.32;0.00;0.00;99.38
ctrl01;568;2022-05-10 20:10:08 UTC;-1;0.64;0.00;0.55;0.00;0.00;98.81
ctrl01;550;2022-05-10 20:20:04 UTC;-1;0.39;0.00;0.32;0.00;0.00;99.28
ctrl01;563;2022-05-10 20:30:06 UTC;-1;0.36;0.00;0.33;0.01;0.00;99.30
ctrl01;574;2022-05-10 20:40:01 UTC;-1;0.32;0.00;0.34;0.00;0.00;99.34
ctrl01;573;2022-05-11 08:00:01 UTC;-1;0.48;0.00;0.53;0.01;0.00;98.98
ctrl01;556;2022-05-11 08:10:02 UTC;-1;1.01;0.00;1.07;0.00;0.00;97.92
ctrl01;566;2022-05-11 08:30:01 UTC;-1;0.40;0.00;0.41;0.01;0.00;99.18
ctrl01;568;2022-05-11 08:40:01 UTC;-1;1.84;0.00;0.93;0.04;0.00;97.18
ctrl01;567;2022-05-11 09:00:05 UTC;-1;1.33;0.00;0.95;0.02;0.00;97.70
ctrl01;552;2022-05-11 09:10:07 UTC;-1;1.03;0.00;1.15;0.00;0.00;97.82
ctrl01;577;2022-05-11 09:20:05 UTC;-1;0.35;0.00;0.33;0.00;0.00;99.31
ctrl01;557;2022-05-11 09:30:03 UTC;-1;0.93;0.00;1.03;0.01;0.00;98.03
ctrl01;566;2022-05-11 09:40:07 UTC;-1;1.08;0.02;1.52;0.01;0.00;97.38
ctrl01;557;2022-05-11 09:50:01 UTC;-1;1.02;0.00;1.11;0.00;0.00;97.86
ctrl01;567;2022-05-11 10:00:01 UTC;-1;0.83;0.00;0.99;0.01;0.00;98.17
ctrl01;555;2022-05-11 10:10:03 UTC;-1;1.30;0.00;1.25;0.07;0.00;97.38
ctrl01;572;2022-05-11 10:20:05 UTC;-1;0.71;0.00;0.64;0.01;0.00;98.64
ctrl01;567;2022-05-11 10:30:01 UTC;-1;0.58;0.00;0.75;0.01;0.00;98.67
ctrl01;553;2022-05-11 10:40:04 UTC;-1;1.10;0.00;1.45;0.00;0.00;97.44
ctrl01;568;2022-05-11 10:50:06 UTC;-1;2.09;0.00;1.32;0.01;0.00;96.58
ctrl01;557;2022-05-11 11:00:06 UTC;-1;2.39;0.02;1.30;0.00;0.00;96.28
ctrl01;576;2022-05-11 11:10:01 UTC;-1;0.64;0.00;0.65;0.00;0.00;98.71
ctrl01;566;2022-05-11 11:20:01 UTC;-1;2.09;0.00;1.44;0.01;0.00;96.46
ctrl01;562;2022-05-11 11:30:03 UTC;-1;1.13;0.00;0.89;0.01;0.00;97.97
ctrl01;568;2022-05-11 11:40:04 UTC;-1;0.27;0.00;0.26;0.00;0.00;99.47
ctrl01;562;2022-05-11 11:50:04 UTC;-1;0.44;0.00;0.41;0.00;0.00;99.15
ctrl01;562;2022-05-11 12:00:01 UTC;-1;2.01;0.00;1.35;0.01;0.00;96.63
ctrl01;550;2022-05-11 12:10:04 UTC;-1;2.66;0.00;1.66;0.01;0.00;95.67
